2026-08-06 16:51:49 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-08-06 16:56:08 | INFO     | travel_agent.orchestrator | 🔑 Роутинг по ключевым словам → rail
2026-08-06 16:56:08 | INFO     | travel_agent.orchestrator | 🧭 Роутер выбрал: rail
2026-08-06 16:56:08 | INFO     | travel_agent.orchestrator | 🏗️ Создаю агента [rail]
2026-08-06 16:56:08 | INFO     | mcp | MCP initialize...
2026-08-06 16:56:08 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "id": "bad6f7b3-e37f-4a61-bf54-1d6f825f25aa", "method": "initialize", "params": {"protocolVersion": "2024-11-05", "capabilities": {}, "clientInfo": {"name": "tutu-travel-agent", "version": "2.0.0"}}}
2026-08-06 16:56:08 | DEBUG    | mcp | MCP response: status=200, len=10936
2026-08-06 16:56:08 | INFO     | mcp | ✅ MCP сессия установлена (stateless)
2026-08-06 16:56:08 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "method": "notifications/initialized"}
2026-08-06 16:56:08 | DEBUG    | mcp | MCP response: status=202, len=0
2026-08-06 16:56:08 | DEBUG    | mcp | MCP notifications/initialized отправлен
2026-08-06 16:56:08 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "id": "ced65f5d-8078-4d0c-aead-5474c4ab72e3", "method": "tools/list", "params": {}}
2026-08-06 16:56:09 | DEBUG    | mcp | MCP response: status=200, len=90303
2026-08-06 16:56:09 | INFO     | mcp | MCP tools/list: 16 инструментов
2026-08-06 16:56:09 | DEBUG    | travel_agent.tools.registry | ToolRegistry loaded 16 tools from MCP (no wrapper)
2026-08-06 16:56:09 | DEBUG    | travel_agent.builder | Агент [rail]: 7/16 инструментов (скилл 'rail')
2026-08-06 16:56:09 | DEBUG    | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2026-08-06 16:56:09 | DEBUG    | httpx | load_verify_locations cafile='C:\\Users\\igor.sobolev\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\certifi\\cacert.pem'
2026-08-06 16:56:09 | DEBUG    | travel_agent.orchestrator | ============================================================
2026-08-06 16:56:09 | DEBUG    | travel_agent.orchestrator | AGENT LOOP START. User message: привет электричка москва калуга
2026-08-06 16:56:09 | DEBUG    | travel_agent.orchestrator | History length: 0
2026-08-06 16:56:09 | DEBUG    | travel_agent.orchestrator | ============================================================
2026-08-06 16:56:09 | DEBUG    | travel_agent.orchestrator | 
--- Iteration 1 ---
