2026-08-06 10:40:15 | DEBUG    | asyncio | Using proactor: IocpProactor
2026-08-06 10:40:46 | INFO     | travel_agent.orchestrator | 🔑 Роутинг по ключевым словам → rail
2026-08-06 10:40:46 | INFO     | travel_agent.orchestrator | 🧭 Роутер выбрал: rail
2026-08-06 10:40:46 | INFO     | travel_agent.orchestrator | 🏗️ Создаю агента [rail]
2026-08-06 10:40:46 | DEBUG    | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2026-08-06 10:40:46 | DEBUG    | httpx | load_verify_locations cafile='C:\\Users\\igor.sobolev\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\site-packages\\certifi\\cacert.pem'
2026-08-06 10:40:46 | INFO     | mcp | MCP initialize...
2026-08-06 10:40:46 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "id": "9d148b9b-c747-4ca4-b612-f01ed060b092", "method": "initialize", "params": {"protocolVersion": "2024-11-05", "capabilities": {}, "clientInfo": {"name": "tutu-travel-agent", "version": "2.0.0"}}}
2026-08-06 10:40:46 | DEBUG    | mcp | MCP response: status=200, len=10936
2026-08-06 10:40:46 | INFO     | mcp | ✅ MCP сессия установлена (stateless)
2026-08-06 10:40:46 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "method": "notifications/initialized"}
2026-08-06 10:40:46 | DEBUG    | mcp | MCP response: status=202, len=0
2026-08-06 10:40:46 | DEBUG    | mcp | MCP notifications/initialized отправлен
2026-08-06 10:40:46 | DEBUG    | mcp | MCP POST: {"jsonrpc": "2.0", "id": "3cb4d9e5-9ff0-4318-a4d7-28670745bc7f", "method": "tools/list", "params": {}}
2026-08-06 10:40:46 | DEBUG    | mcp | MCP response: status=200, len=90303
2026-08-06 10:40:46 | INFO     | mcp | MCP tools/list: 16 инструментов
2026-08-06 10:40:46 | DEBUG    | travel_agent.tools.registry | ToolRegistry loaded 16 tools from MCP (no wrapper)
2026-08-06 10:40:46 | DEBUG    | travel_agent.orchestrator | ============================================================
2026-08-06 10:40:46 | DEBUG    | travel_agent.orchestrator | AGENT LOOP START. User message: электричка москва калуга
2026-08-06 10:40:46 | DEBUG    | travel_agent.orchestrator | History length: 0
2026-08-06 10:40:46 | DEBUG    | travel_agent.orchestrator | ============================================================
2026-08-06 10:40:46 | DEBUG    | travel_agent.orchestrator | 
--- Iteration 1 ---
